procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 15455748 2385224 100167440    0    0     0    28 15633 4062 23  3 74  0  0
17  0    512 15455888 2385224 100167456    0    0     0    28 14833 3225 23  3 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0    512 15450032 2385228 100167472    0    0     0   104 13549 5317 23  3 74  0  0
17  0    512 15457108 2385228 100167528    0    0     0     4 10693 5086 23  3 74  0  0
16  0    512 15460288 2385228 100167536    0    0     0  1616 15088 2698 23  3 74  0  0
16  0    512 15459460 2385232 100167536    0    0     0    32 16608 2639 23  3 73  0  0
19  0    512 15458196 2385232 100167688    0    0     0    96 15351 3691 22  3 74  0  0
16  0    512 15456460 2385232 100167696    0    0     0   108 17236 3325 23  5 72  0  0
18  0    512 15454792 2385232 100167696    0    0     0     4 15668 3037 23  3 74  0  0
18  0    512 15445400 2385232 100167712    0    0     0     4 16649 2735 23  3 74  0  0
16  0    512 15453036 2385232 100167720    0    0     0  1532 16959 2591 23  3 74  0  0
15  0    512 15452900 2385236 100167728    0    0     0   160 16091 2584 23  3 74  0  0
17  0    512 15451212 2385236 100167728    0    0     0    44 17254 2638 23  4 73  0  0
19  0    512 15450552 2385236 100167736    0    0     0     4 15787 2772 23  3 74  0  0
16  0    512 15446420 2385236 100167744    0    0     0   120 10873 2599 24  2 74  0  0
16  0    512 15448444 2385236 100167752    0    0     0  1768 9339 2111 24  2 74  0  0
16  0    512 15404360 2385236 100167760    0    0     0     8 12971 2804 23  3 74  0  0
16  0    512 15400304 2385240 100167776    0    0     0    36 15777 4033 23  3 74  0  0
17  0    512 15392108 2385240 100167776    0    0     0    96 15834 3225 23  4 73  0  0
16  0    512 15398928 2385240 100167912    0    0     0    12 14620 5753 23  3 74  0  0
16  0    512 15400412 2385240 100167952    0    0     0  1648 9955 5276 23  3 74  0  0
16  0    512 15400944 2385240 100167976    0    0     0     4 14952 3743 23  3 74  0  0
16  0    512 15397664 2385240 100167984    0    0     0   100 15724 2654 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0    512 15394336 2385244 100168000    0    0     0   100 16753 2278 23  3 73  0  0
16  0    512 15393932 2385244 100168000    0    0     0     8 16320 2462 23  4 73  0  0
16  0    512 15392816 2385244 100168008    0    0     0  1748 15361 2835 23  4 73  0  0
16  0    512 15391628 2385244 100168016    0    0     0     8 17183 2430 23  3 74  0  0
17  0    512 15398768 2385244 100168032    0    0     0   108 16145 2635 23  3 74  0  0
17  0    512 15398668 2385244 100168032    0    0     0    64 16891 2321 23  3 74  0  0
19  0    512 15398052 2385244 100168128    0    0    92     4 11987 2300 24  3 73  0  0
17  0    512 15392712 2385244 100168144    0    0     0    12 10552 2064 24  2 73  0  0
17  0    512 15396404 2385244 100168272    0    0     0  1552 12044 3027 24  2 74  0  0
16  0    512 15399288 2385244 100168280    0    0     0    56 15654 3783 23  3 74  0  0
16  0    512 15399296 2385248 100168288    0    0     0    56 15573 3057 23  3 75  0  0
18  0    512 15390548 2385248 100168288    0    0     0     8 12763 4455 23  3 74  0  0
